the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.92880058068452 40.83084464382056, -73.92886633320897 40.830716119833674, -73.92879343381053 40.83069326620927, -73.92885376092852 40.83063703691533, -73.92880876574752 40.830618546300144, -73.92879365094593 40.83047708001493, -73.92875295765242 40.830467961683745, -73.92881321295692 40.83032023937142, -73.9295951742436 40.83040388101565, -73.92916290017288 40.830964303181034, -73.92880058068452 40.83084464382056)))",963,BX,2504,6,936 Woodycrest Avenue,2025040006,American Female Guardian Society and Home for the Friendless at Woody Crest Home,LP-02049,"Borough of the Bronx Tax Map Block 2504, Lot 6",Designated,,03/28/2000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2049.pdf,796.957446669,33499.2479567
"MULTIPOLYGON (((-73.90494347966369 40.828493802022074, -73.90485981666113 40.82843888925162, -73.90479146438398 40.82839402418345, -73.90472311219649 40.82834916087544, -73.90464986622266 40.828301085014694, -73.90469340403052 40.82826276349614, -73.90478973328547 40.8281779749625, -73.90470976371586 40.82812548295975, -73.90485032231251 40.828001763766764, -73.90499864919016 40.827871207033546, -73.90501000622564 40.827878660786126, -73.90508245845567 40.827926217082876, -73.90537277447741 40.82767223405143, -73.90593399745266 40.82802944974808, -73.90520868582259 40.828667874482235, -73.90494347966369 40.828493802022074)))",964,BX,2613,1,1122 Franklin Avenue,2026130001,Second Battery Armory,LP-01794,"Borough of The Bronx Tax Map Block 2613, Lot 1.",Designated,,06/02/1992,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1794.pdf,1078.33312691,65864.0869583
"MULTIPOLYGON (((-73.89040775145834 40.83658148178778, -73.89004793055578 40.83620175018863, -73.89023836040701 40.836124458427165, -73.89033597705598 40.83608953825691, -73.89046686535531 40.83604717550196, -73.89057414457446 40.83601522062952, -73.89070145670563 40.83598151337067, -73.890808963289 40.83595609608558, -73.89092913519224 40.8359318523164, -73.89102982172331 40.835914467090404, -73.89109153139502 40.83617246663413, -73.89100691486765 40.836178863958594, -73.8910226924039 40.83623735337884, -73.891044992328 40.83634570843761, -73.89113103212445 40.836639096941155, -73.89101651555326 40.83666345792423, -73.89094908261985 40.83668032438164, -73.89086938639147 40.836702308413045, -73.89076156447251 40.836737086093294, -73.89060854098295 40.83647028574053, -73.89040775145834 40.83658148178778)))",965,BX,2939,93,1619 Boston Road,2029390093,Herman Ridder Junior High School,LP-01628,"Borough of the Bronx Tax Map Block 2939, Lot 93.",Designated,Public School 98,12/11/1990,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1628.pdf,1036.2700857,51994.3672196
"MULTIPOLYGON (((-73.92606540314736 40.81919464727775, -73.9263914929443 40.81846149676233, -73.92707244412101 40.818633965768704, -73.92671411520111 40.81937554976053, -73.92606540314736 40.81919464727775)))",966,BX,2443,400,560 Grand Concourse,2024430400,Bronx Post Office,LP-00837,"Borough of the Bronx Tax Map Block 2443, Lot 400.",Designated,,11/25/1975,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0837.pdf,959.71016198,55533.2096736
"MULTIPOLYGON (((-73.92487102343121 40.83928653991362, -73.9246536716407 40.839215140267505, -73.92465961202066 40.83920462007824, -73.92468942082058 40.839151828292096, -73.92471960499923 40.83909837578042, -73.92456008060849 40.8390463769998, -73.92497589767588 40.838436336778756, -73.92601158343821 40.83856888492151, -73.9255650910707 40.839359633641344, -73.92494480721972 40.839155872287606, -73.92487102343121 40.83928653991362)))",967,BX,2518,1,105-149 West 168th Street,2025180001,Noonan Plaza Apartments,LP-02400,"Borough of the Bronx Tax Map Block 2518, Lot 1.",Designated,,06/22/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2400.pdf,1253.01834612,84548.2002506
"MULTIPOLYGON (((-73.92202543629618 40.813292672441044, -73.92202610227922 40.813291760687356, -73.92194669538203 40.81325836693405, -73.92212471265955 40.81301496754173, -73.92228638231134 40.81308295703946, -73.92223982923895 40.813146607942606, -73.92219683983119 40.81320538863868, -73.92215244479064 40.813266087329545, -73.92210769946206 40.813327267532365, -73.92202543629618 40.813292672441044)))",968,BX,2306,52,341 East 143rd Street,2023060052,Fire Hook and Ladder Company 17,LP-02046,"Borough of the Bronx Tax Map Block 2306, Lot 52.",Designated,now Engine Company 60,06/20/2000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2046.pdf,305.960605966,5199.0781554
"MULTIPOLYGON (((-73.78426766959672 40.84744371838346, -73.78422371032065 40.84732420083475, -73.78419570231489 40.8472480584285, -73.78416796239944 40.847172638712784, -73.78414028249819 40.84709738119068, -73.78411168109199 40.84701961946095, -73.78408447972019 40.84694566583493, -73.78405644854762 40.84686945220681, -73.784028384511 40.8467931538627, -73.78400048041884 40.84671728444569, -73.78397391404073 40.846645055525606, -73.7840818651197 40.84662193572028, -73.78436100964535 40.84656214993777, -73.7844164062648 40.84670975635236, -73.78450772030965 40.846953056992945, -73.78458274459656 40.847152955697226, -73.78465123479624 40.847335442786225, -73.78474126432229 40.847575319834775, -73.78434873438187 40.84766411207438, -73.78426766959672 40.84744371838346)))",969,BX,5643,7501,190 Fordham Street,2056437501,Public School 102,LP-02487,"Borough of the Bronx Tax Map Block 5643, Lots 1001-1008. Note: the Landmark consists of the original 1897-98 portion of the school building, as well as the adjacent western and eastern side yards and the northern front yard.",Designated,"later Public School 17, the City Island School",12/20/2011,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2487.pdf,993.918527545,43193.7507465
"MULTIPOLYGON (((-73.92016555616425 40.880372181453694, -73.92017882943787 40.88036368283164, -73.92019228566086 40.88035498172496, -73.92020754085874 40.88034499596482, -73.92022749229275 40.880331740177866, -73.92024526749323 40.88031973996364, -73.92026941099904 40.88030314625875, -73.92029822866498 40.880282881789036, -73.92034131795366 40.880251616006014, -73.92039716502603 40.88020928211385, -73.92043141861467 40.880182238890185, -73.92046911606923 40.880151473614355, -73.92067947397621 40.8803302165068, -73.92066955147575 40.88033354779278, -73.92062155958878 40.8803472472243, -73.92058178192508 40.880356464260494, -73.92054203560387 40.880364264838214, -73.92049214660987 40.8803719791725, -73.92045122400671 40.88037624179505, -73.92039883385429 40.88038011738923, -73.920357867127 40.880381588437984, -73.92030154541376 40.880382269948434, -73.92027309421015 40.880381842377254, -73.92021677874813 40.88037830236677, -73.9201737778522 40.88037338028606, -73.92016555616425 40.880372181453694)))",970,BX,5743,15,2550 Independence Avenue,2057430015,Riverdale Presbyterian Chapel,LP-01086,"Borough of Bronx, Tax Map Block 5743, Lot 15.",Designated,now Edgehill Church of Spuyten Duyvil,11/25/1980,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1086.pdf,348.493310556,5888.17464177
"MULTIPOLYGON (((-73.78981934008407 40.85443453201834, -73.79008751171615 40.85436931305843, -73.78995364966943 40.85418556503036, -73.79002073417914 40.85416925044088, -73.79008855095891 40.85415275704604, -73.7903949313149 40.85407824445394, -73.79056927588583 40.85432419772438, -73.7898635537842 40.85449583081445, -73.78981934008407 40.85443453201834)))",971,BX,5635,73,586 City Island Avenue,2056350073,Samuel Pell House,LP-02115,"Borough of the Bronx Tax Map Block 5635, Lot 73.",Designated,,10/29/2002,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2115.pdf,614.819189357,14714.2724914
"MULTIPOLYGON (((-73.91861085319319 40.81522333669861, -73.91866004427416 40.8151553073198, -73.9187828280178 40.81518848535185, -73.91886263022224 40.815270574144044, -73.91872447339033 40.81534026988398, -73.91861085319319 40.81522333669861)))",972,BX,2307,59,2804-2808 Third Avenue,2023070059,Haffen Building,LP-02388,"Borough of the Bronx Tax Map Block 2307, Lot 59",Designated,,06/22/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2388.pdf,200.391392265,2569.4919634
